breed;size;exercise;size_home;grooming;coat_length;sheeds;life_time;vulnerable_breed;town_country;garden_size;BREED_CATEGORY;BREED_CATEGORY_DESCRIPTION;BREED_ISSUES
Welsh Corgi (Cardigan);Small;Up to 1 hour per day;Small house;More than once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Welsh Corgi (Pembroke);Small;Up to 1 hour per day;Small house;More than once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Welsh Terrier;Small;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
West Highland White Terrier;Small;Up to 1 hour per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Whippet;Small;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
White Swiss Shepherd Dog (Imp);Large;More than 2 hours per day;Large house;More than once a week;Medium & long;Yes;Over 10 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Xoloitzcuintle (Mex Hairless) Int (Imp);Small-Medium;Up to 1 hour per day;Small house;Once a week;Short;No;Over 10 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Xoloitzcuintle (Mex Hairless) Min (Imp);Small;Up to 1 hour per day;Flat/ Apartment;Once a week;Short;No;Over 10 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Xoloitzcuintle (Mex Hairless) Std (Imp);Medium-Large;Up to 1 hour per day;Small house;Once a week;Short;No;Over 10 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Yorkshire Terrier;Small;Up to 30 minutes per day;Flat/ Apartment;Every day;Long;No;Over 12 years;Yes;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;Yorkshire Terriers are small but spirited dogs   though they are prone to several health conditions that require attentive care. Tracheal collapse is relatively common in the breed and can cause chronic coughing or breathing difficulties   especially during excitement or exercise. Luxating patellas   where the kneecap slips out of place   may also affect their mobility and comfort. Another serious concern is portosystemic shunt   a liver condition that can interfere with toxin removal from the bloodstream and often requires medical or surgical management. Additionally   some Yorkshire Terriers are at risk of developing diabetes   which needs to be carefully controlled through diet and insulin therapy.
